pre,temp,sault,density
279.2,11.207,34.377,26.25915966
288.8,10.944,34.364,26.29664308
299.4,10.648,34.354,26.34157317
309.3,10.336,34.33,26.37741441
318.9,10.11,34.306,26.39761245
329,9.795,34.268,26.42121695
339.4,8.327,34.008,26.4510543
349.2,6.809,33.781,26.48867611
359.2,5.928,33.689,26.5294496
369.2,4.897,33.637,26.60944011
379.6,4.521,33.635,26.64896403
389.6,7.121,34.135,26.72575726
399.4,7.02,34.115,26.72400133
429.4,6.836,34.144,26.77221563
458.9,6.739,34.182,26.81556848
488.9,6.201,34.169,26.87592645
519.4,5.653,34.127,26.91118805
549.2,5.809,34.201,26.95101284
579.3,4.749,34.098,26.99347434
609,4.348,34.1,27.03864943
639.1,5.018,34.264,27.09555858
669.4,4.81,34.302,27.14943955
699.5,4.56,34.321,27.19231598
729,4.45,34.327,27.2092177
759.3,4.243,34.328,27.23221936
789.2,4.061,34.326,27.24974307
819,3.504,34.267,27.25817913
849,3.424,34.285,27.2803608
879.2,3.468,34.319,27.30351475
909.5,3.474,34.336,27.31672224
939.3,3.376,34.366,27.35014926
969.2,3.31,34.375,27.36373354
999.5,3.223,34.382,27.37760962
1099.4,2.948,34.415,27.4295535
1199.3,2.749,34.446,27.47242697
1299,2.576,34.481,27.51581623
1398.8,2.454,34.502,27.54343278
4.2,14.92,34.529,25.62641386
9.6,14.907,34.528,25.62865413
14.6,14.923,34.528,25.62532742
19.3,14.895,34.53,25.63312803
24.1,14.745,34.5,25.64272079
28.9,14.646,34.479,25.64805272
34.1,13.914,34.364,25.71454909
39.2,13.789,34.344,25.72521197
44.3,13.574,34.316,25.74802137
48.8,13.403,34.295,25.76682402
54.1,13.284,34.267,25.76943211
59.2,12.97,34.209,25.78764934
64.3,12.908,34.196,25.79003587
69.5,12.882,34.19,25.79068138
74.2,12.852,34.183,25.79132209
79.1,12.823,34.178,25.79331037
89.1,12.8,34.174,25.79501664
99.2,12.773,34.172,25.79905713
109.2,12.778,34.175,25.8006635
119.4,12.764,34.175,25.80369155
129.4,12.671,34.163,25.81291428
139.5,12.094,34.104,25.87875537
149.2,11.793,34.06,25.90157454
159.1,10.729,33.944,26.00475379
169.5,10.063,33.875,26.06612903
179.1,9.776,33.846,26.0917728
189.3,9.725,33.894,26.13792866
199.2,10.219,34.096,26.21267156
209.1,10.029,34.062,26.21865269
219.1,9.345,33.952,26.24602864
229.1,9.48,34.045,26.29700756
239.3,10.131,34.229,26.33231802
249.6,8.986,34.091,26.41279685
259.4,7.793,33.96,26.49116007
269.3,8.184,34.119,26.55855613
279.1,8.062,34.125,26.58160017
289.4,8.091,34.147,26.59472612
299.4,7.914,34.135,26.61160158
308.9,7.702,34.125,26.63474625
319.1,7.537,34.108,26.6451988
329.4,7.341,34.1,26.66677375
339.2,7.208,34.108,26.69177562
349.4,7.196,34.138,26.71720102
359.1,6.898,34.117,26.74165208
369.1,6.51,34.076,26.76113641
379.2,6.542,34.099,26.77520872
389.3,6.655,34.148,26.79906348
399.3,6.591,34.168,26.82343846
429.2,6.347,34.193,26.87542357
459,5.937,34.16,26.9017444
489.1,5.634,34.184,26.95827141
519.1,4.779,34.099,26.99040193
549.2,4.402,34.101,27.03321494
579.3,4.989,34.271,27.10383191
609,4.787,34.303,27.1522314
639.3,4.565,34.317,27.18805502
668.9,3.893,34.255,27.20932975
698.8,3.648,34.253,27.23222739
729.2,3.762,34.308,27.26506627
759.3,3.528,34.305,27.2857313
789.4,3.428,34.321,27.3082568
819.1,3.389,34.343,27.32970653
849.1,3.329,34.355,27.34513666
879.1,3.254,34.365,27.3603197
909.2,3.169,34.378,27.37874534
939.1,3.118,34.391,27.3939913
969.4,3.047,34.401,27.40861928
999,2.993,34.41,27.42086078
1098.9,2.82,34.436,27.45760047
1199.2,2.651,34.466,27.49681842
1298.9,2.519,34.491,27.52859068
1398.8,2.411,34.51,27.55337253
4.1,14.759,34.537,25.66758897
9.4,14.758,34.538,25.66874745
14.6,14.756,34.537,25.66857654
19.5,14.761,34.538,25.66842225
24.4,14.764,34.538,25.66792989
29.3,14.763,34.538,25.66830434
34.5,14.707,34.529,25.67364629
39.6,14.657,34.516,25.67457244
44.6,14.616,34.507,25.67661874
49.4,14.539,34.493,25.68250809
54.3,14.16,34.432,25.7161415
59.2,14.106,34.422,25.71993273
64.5,13.799,34.378,25.75017151
69.5,13.593,34.351,25.77192421
74.4,13.554,34.344,25.77464693
79.3,13.508,34.334,25.77646286
89.5,12.908,34.226,25.81395955
99.1,12.81,34.208,25.81966163
109.5,12.735,34.201,25.82928804
119.2,12.623,34.194,25.84607564
129.3,12.372,34.158,25.8671654
139.3,11.737,34.077,25.92500836
149.3,11.002,33.989,25.99112147
159.4,10.151,33.916,26.08300335
169.2,9.666,33.896,26.1488714
178.9,9.357,33.885,26.19095443
189.4,8.751,33.883,26.28568733
199.3,8.099,33.842,26.35269199
209.4,8.731,34.055,26.42391426
219.3,9.198,34.2,26.46379254
229.5,9.156,34.23,26.49419952
239.4,9.02,34.225,26.51216829
249.4,8.543,34.189,26.55869287
259.3,8.251,34.151,26.57346109
269.3,7.223,33.993,26.5982123
279.1,6.816,33.978,26.64213955
289.5,6.78,33.988,26.65498236
299.4,6.356,33.968,26.69510274
309.3,6.351,33.994,26.71638793
319,6.76,34.085,26.7345032
329.2,7.077,34.175,26.7625181
339.4,6.609,34.131,26.79113259
349,6.544,34.149,26.81402707
359.3,6.435,34.166,26.84184546
369.2,6.153,34.157,26.87117254
379.2,5.935,34.144,26.88845994
389.5,5.968,34.179,26.91212057
399.3,5.868,34.179,26.92467964
429.2,5.666,34.196,26.96324783
458.9,5.061,34.142,26.99218064
489.5,4.211,34.054,27.01547205
519,4.902,34.217,27.07027596
549.3,4.948,34.286,27.12009642
579.3,4.74,34.303,27.1571801
609.2,4.368,34.297,27.19309557
638.9,3.774,34.257,27.22257421
669,3.746,34.277,27.24150116
698.7,3.734,34.31,27.26919483
728.9,3.557,34.316,27.29148243
759.1,3.485,34.332,27.31137662
789.1,3.433,34.345,27.32691696
818.9,3.347,34.351,27.34004191
849.2,3.246,34.365,27.36085138
879.4,3.178,34.377,27.37691394
908.8,3.094,34.388,27.3935704
939.2,3.035,34.398,27.40709912
969.4,2.993,34.407,27.41826368
999.2,2.938,34.417,27.43135829
1099,2.766,34.446,27.47029089
1199.1,2.606,34.474,27.50703551
1299.1,2.453,34.501,27.54207432
1398.8,2.347,34.522,27.56820229
4.6,19.597,34.62,24.57744499
9.4,19.6,34.62,24.57689194
14.2,19.603,34.62,24.57633895
19.2,19.604,34.62,24.57631478
24.3,19.595,34.621,24.57965481
29.5,19.592,34.621,24.58067829
33.9,19.601,34.619,24.57702289
39.4,19.599,34.618,24.57703788
44.5,19.6,34.619,24.57778197
49.6,19.6,34.619,24.57802236
54.4,19.602,34.618,24.5769663
59,19.596,34.618,24.57874014
64.2,19.594,34.619,24.5802675
69.2,19.599,34.618,24.57844273
74.5,19.6,34.618,24.5784333
79.2,19.601,34.619,24.57915894
89.3,19.601,34.619,24.57963564
99.3,19.593,34.62,24.58294585
109.5,19.593,34.619,24.58266397
119.1,19.488,34.626,24.61563576
129.4,19.226,34.644,24.69726108
139,19.012,34.608,24.7247998
149,18.621,34.654,24.85917225
159.7,18.145,34.624,24.9551133
169.2,17.435,34.55,25.07172283
179.4,16.061,34.319,25.21631717
189,15.506,34.251,25.28926358
199.2,14.648,34.181,25.42311878
209.3,14.408,34.169,25.46537348
219.4,13.919,34.104,25.51806944
229.5,13.512,34.045,25.55635669
239.5,13.395,34.035,25.57264
249.3,13.408,34.04,25.57415837
259.2,13.406,34.04,25.5748455
269.4,13.406,34.039,25.5743627
279.1,13.401,34.038,25.5748771
289.4,13.328,34.034,25.58681091
299.3,13.311,34.071,25.61915801
309.2,13.683,34.182,25.62972574
319.5,13.244,34.088,25.64636168
329.4,12.422,33.958,25.70750583
339.1,11.843,33.936,25.80047727
349.2,13.073,34.477,25.9827261
359.4,12.694,34.453,26.03941167
369.4,11.852,34.37,26.13679198
379.4,11.022,34.274,26.21460648
389.3,9.965,34.105,26.26658783
399,9.111,34.029,26.34704417
429.1,7.653,33.939,26.49730432
459.2,6.891,33.902,26.5744489
489.1,6.257,33.917,26.66975787
519.3,4.622,33.742,26.72423802
549.5,4.316,33.756,26.76813211
578.9,4.183,33.815,26.82906178
608.6,4.369,33.903,26.87987671
639.3,4.746,34.019,26.93165233
668.8,4.559,34.029,26.96023416
699.2,4.386,34.058,27.00202169
729.2,4.029,34.056,27.03769429
759.5,4.386,34.153,27.07804029
789.3,3.854,34.132,27.1162514
819.1,3.784,34.172,27.15527442
849.4,3.828,34.217,27.18698905
879,3.82,34.246,27.21111119
909.3,3.846,34.288,27.24221227
939,3.806,34.301,27.25677986
969.2,3.474,34.299,27.28766853
999.3,3.434,34.318,27.3068392
1098.9,3.209,34.39,27.38600222
1199.1,2.953,34.418,27.43219827
1298.9,2.77,34.449,27.47368649
1398.7,2.558,34.484,27.52038462
4,19.788,34.739,24.61846796
9.5,19.827,34.74,24.60929124
14.3,19.824,34.74,24.61030631
19,19.819,34.74,24.61183981
24.4,19.821,34.74,24.61157503
29.2,19.82,34.74,24.61206655
34.5,19.824,34.74,24.61127383
38.9,19.825,34.74,24.61122302
43.8,19.83,34.74,24.61014958
49.1,19.826,34.74,24.6114503
54.2,19.823,34.741,24.61324263
59.2,19.827,34.74,24.611673
64.4,19.842,34.74,24.6079977
69.3,19.843,34.74,24.60797131
74.3,19.845,34.74,24.60768809
79.2,19.844,34.74,24.60818521
89,19.846,34.74,24.60813285
